Country,Happiness.Rank,Happiness.Score,lat,long
Norway,1,7.537000179,60.472024,8.468946
Denmark,2,7.521999836,56.26392,9.501785
Iceland,3,7.504000187,64.963051,-19.020835
Switzerland,4,7.493999958,46.818188,8.227512
Finland,5,7.468999863,61.92411,25.748151
Netherlands,6,7.376999855,52.132633,5.291266
Canada,7,7.315999985,56.130366,-106.346771
New Zealand,8,7.31400013,-40.900557,174.885971
Sweden,9,7.28399992,60.128161,18.643501
Australia,10,7.28399992,-25.274398,133.775136
Israel,11,7.212999821,31.046051,34.851612
Costa Rica,12,7.078999996,9.748917,-83.753428
Austria,13,7.006000042,47.516231,14.550072
United States,14,6.993000031,37.09024,-95.712891
Ireland,15,6.977000237,53.41291,-8.24389
Germany,16,6.951000214,51.165691,10.451526
Belgium,17,6.890999794,50.503887,4.469936
Luxembourg,18,6.862999916,49.815273,6.129583
United Kingdom,19,6.714000225,55.378051,-3.435973
Chile,20,6.65199995,-35.675147,-71.542969
United Arab Emirates,21,6.647999763,23.424076,53.847818
Brazil,22,6.635000229,-14.235004,-51.92528
Czech Republic,23,6.609000206,49.817492,15.472962
Argentina,24,6.598999977,-38.416097,-63.616672
Mexico,25,6.578000069,23.634501,-102.552784
Singapore,26,6.572000027,1.352083,103.819836
Malta,27,6.52699995,35.937496,14.375416
Uruguay,28,6.453999996,-32.522779,-55.765835
Guatemala,29,6.453999996,15.783471,-90.230759
Panama,30,6.452000141,8.537981,-80.782127
France,31,6.441999912,46.227638,2.213749
Thailand,32,6.423999786,15.870032,100.992541
Spain,34,6.402999878,40.463667,-3.74922
Qatar,35,6.375,25.354826,51.183884
Colombia,36,6.356999874,4.570868,-74.297333
Saudi Arabia,37,6.343999863,23.885942,45.079162
Trinidad and Tobago,38,6.168000221,10.691803,-61.222503
Kuwait,39,6.105000019,29.31166,47.481766
Slovakia,40,6.09800005,48.669026,19.699024
Bahrain,41,6.086999893,25.930414,50.637772
Malaysia,42,6.084000111,4.210484,101.975766
Nicaragua,43,6.071000099,12.865416,-85.207229
Ecuador,44,6.007999897,-1.831239,-78.183406
El Salvador,45,6.002999783,13.794185,-88.89653
Poland,46,5.97300005,51.919438,19.145136
Uzbekistan,47,5.971000195,41.377491,64.585262
Italy,48,5.964000225,41.87194,12.56738
Russia,49,5.962999821,61.52401,105.318756
Belize,50,5.955999851,17.189877,-88.49765
Japan,51,5.920000076,36.204824,138.252924
Lithuania,52,5.90199995,55.169438,23.881275
Algeria,53,5.872000217,28.033886,1.659626
Latvia,54,5.849999905,56.879635,24.603189
South Korea,55,5.837999821,35.907757,127.766922
Moldova,56,5.837999821,47.411631,28.369885
Romania,57,5.824999809,45.943161,24.96676
Bolivia,58,5.822999954,-16.290154,-63.588653
Turkmenistan,59,5.822000027,38.969719,59.556278
Kazakhstan,60,5.818999767,48.019573,66.923684
Slovenia,62,5.757999897,46.151241,14.995463
Peru,63,5.715000153,-9.189967,-75.015152
Mauritius,64,5.629000187,-20.348404,57.552152
Cyprus,65,5.620999813,35.126413,33.429859
Estonia,66,5.611000061,58.595272,25.013607
Belarus,67,5.568999767,53.709807,27.953389
Libya,68,5.525000095,26.3351,17.228331
Turkey,69,5.5,38.963745,35.243322
Paraguay,70,5.493000031,-23.442503,-58.443832
Philippines,72,5.429999828,12.879721,121.774017
Serbia,73,5.394999981,44.016521,21.005859
Jordan,74,5.335999966,30.585164,36.238414
Hungary,75,5.323999882,47.162494,19.503304
Jamaica,76,5.31099987,18.109581,-77.297508
Croatia,77,5.293000221,45.1,15.2
Kosovo,78,5.278999805,42.602636,20.902977
China,79,5.272999763,35.86166,104.195397
Pakistan,80,5.269000053,30.375321,69.345116
Indonesia,81,5.262000084,-0.789275,113.921327
Venezuela,82,5.25,6.42375,-66.58973
Montenegro,83,5.236999989,42.708678,19.37439
Morocco,84,5.235000134,31.791702,-7.09262
Azerbaijan,85,5.234000206,40.143105,47.576927
Dominican Republic,86,5.230000019,18.735693,-70.162651
Greece,87,5.227000237,39.074208,21.824312
Lebanon,88,5.224999905,33.854721,35.862285
Portugal,89,5.195000172,39.399872,-8.224454
Bosnia and Herzegovina,90,5.18200016,43.915886,17.679076
Honduras,91,5.181000233,15.199999,-86.241905
Somalia,93,5.151000023,5.152149,46.199616
Vietnam,94,5.073999882,14.058324,108.277199
Nigeria,95,5.073999882,9.081999,8.675277
Tajikistan,96,5.040999889,38.861034,71.276093
Bhutan,97,5.011000156,27.514162,90.433601
Kyrgyzstan,98,5.004000187,41.20438,74.766098
Nepal,99,4.961999893,28.394857,84.124008
Mongolia,100,4.954999924,46.862496,103.846656
South Africa,101,4.828999996,-30.559482,22.937506
Tunisia,102,4.804999828,33.886917,9.537499
Palestinian Territories,103,4.775000095,31.952162,35.233154
Egypt,104,4.735000134,26.820553,30.802498
Bulgaria,105,4.714000225,42.733883,25.48583
Sierra Leone,106,4.709000111,8.460555,-11.779889
Cameroon,107,4.695000172,7.369722,12.354722
Iran,108,4.691999912,32.427908,53.688046
Albania,109,4.644000053,41.153332,20.168331
Bangladesh,110,4.607999802,23.684994,90.356331
Namibia,111,4.573999882,-22.95764,18.49041
Kenya,112,4.552999973,-0.023559,37.906193
Mozambique,113,4.550000191,-18.665695,35.529562
Senegal,115,4.534999847,14.497401,-14.452362
Zambia,116,4.513999939,-13.133897,27.849332
Iraq,117,4.497000217,33.223191,43.679291
Gabon,118,4.465000153,-0.803689,11.609444
Ethiopia,119,4.460000038,9.145,40.489673
Sri Lanka,120,4.440000057,7.873054,80.771797
Armenia,121,4.375999928,40.069099,45.038189
India,122,4.315000057,20.593684,78.96288
Mauritania,123,4.291999817,21.00789,-10.940835
Georgia,125,4.285999775,42.315407,43.356892
Mali,127,4.190000057,17.570692,-3.996166
Cambodia,129,4.168000221,12.565679,104.990963
Sudan,130,4.138999939,12.862807,30.217636
Ghana,131,4.119999886,7.946527,-1.023194
Ukraine,132,4.096000195,48.379433,31.16558
Uganda,133,4.080999851,1.373333,32.290275
Burkina Faso,134,4.032000065,12.238333,-1.561593
Niger,135,4.027999878,17.607789,8.081666
Malawi,136,3.970000029,-13.254308,34.301525
Chad,137,3.936000109,15.454166,18.732207
Zimbabwe,138,3.875,-19.015438,29.154857
Lesotho,139,3.808000088,-29.609988,28.233608
Angola,140,3.795000076,-11.202692,17.873887
Afghanistan,141,3.79399991,33.93911,67.709953
Botswana,142,3.766000032,-22.328474,24.684866
Benin,143,3.657000065,9.30769,2.315834
Madagascar,144,3.644000053,-18.766947,46.869107
Haiti,145,3.602999926,18.971187,-72.285215
Yemen,146,3.592999935,15.552727,48.516388
Liberia,148,3.532999992,6.428055,-9.429499
Guinea,149,3.506999969,9.945587,-9.696645
Togo,150,3.494999886,8.619543,0.824782
Rwanda,151,3.470999956,-1.940278,29.873888
Syria,152,3.461999893,34.802075,38.996815
Tanzania,153,3.348999977,-6.369028,34.888822
Burundi,154,2.904999971,-3.373056,29.918886
Central African Republic,155,2.693000078,6.611111,20.939444
